Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",Total compte 60610002 E.D.F. SERV.GX Cpteur 069,,"1941,75","1941,75",,"258,80"
"",,,,,,
"",DEPENSES DIVERSES N/REC.,,,,,
01/10/2014,Fourniture 4 badges Mr LAHOUSSE,,"90,84CR",,,
15/10/2014,Fourniture badge Mr SZLAFMYC,,"26,28CR",,,
31/10/2014,Bailly fourniture et programmat° 10 clès,,"239,40",,,"39,90"
25/11/2014,Mr PRON (GPA10)  fourniture 2badges,,"47,58CR",,,
04/12/2014,GPA10 fourniture 8 badges,,"191,52CR",,,
"",Total compte 60630002 DEPENSES DIVERSES N/REC.,,"116,82CR",,,"39,90"
"",,,,,,
"",ENTRETIEN IMMEUBLE,,,,,
12/01/2014,Entretien 01/14,,"1339,72","1339,72",,"223,29"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/02/2014,Entretien 02/14,,"1339,72","1339,72",,"223,29"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/03/2014,Entretien 03/14,,"1339,72","1339,72",,"223,29"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/04/2014,Entretien 04/14,,"1339,71","1339,71",,"223,29"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/05/2014,Entretien 05/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/06/2014,Entretien 06/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/07/2014,Entretien 07/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/08/2014,Entretien 08/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/09/2014,Entretien 09/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
10/10/2014,Entretien 10/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
10/11/2014,Entretien 11/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
11/12/2014,Entretien 12/14,,"1382,29","1382,29",,"230,38"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 61510000 ENTRETIEN IMMEUBLE,,"16417,19","16417,19",,"2736,20"
"",,,,,,
"",PETITS TRVX D'ELECTRICITE,,,,,
30/01/2014,Remise en état des fixation du plafonnie,,"167,97","167,97",,"15,27"
"",Four:S.A.R.L. ECOMELEC,,,,,
23/04/2014,Remise en service ventouses porte rue,,"158,29","158,29",,"14,39"
"",Four:Syndicat BAILLY,,,,,
30/09/2014,Remplacment douille de luminaire,,"170,28","170,28",,"15,48"
"",Four:S.A.R.L. ECOMELEC,,,,,
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
"",Total compte 61510001 PETITS TRVX D'ELECTRICITE,,"496,54","496,54",,"45,14"
"",,,,,,
"",DESOURISATION,,,,,
12/03/2014,Désourisation 1er trimestre 14,,"78,00","78,00",,"13,00"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/06/2014,Désourisation 2ème trimestre 14,,"78,00","78,00",,"13,00"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/09/2014,Désourisation 3ème trimestre 14,,"78,00","78,00",,"13,00"
"",Four:S.A.R.L. T.P.V.S.,,,,,
11/12/2014,Désourisation 4ème trimestre 14,,"78,00","78,00",,"13,00"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 61510002 DESOURISATION,,"312,00","312,00",,"52,00"
"",,,,,,
"",ENTRET. & REPAR.DIVERS,,,,,
31/07/2014,Fourniture te pose tapie sol,,"231,00","231,00",,"21,00"
"",Four:Entreprise KHLAIFA,,,,,
"",Total compte 61510004 ENTRET. & REPAR.DIVERS,,"231,00","231,00",,"21,00"
"",,,,,,
"",ENTRETIEN VMC N/RECUP,,,,,
30/12/2014,Nettoyage des 2 extracteurs,,"345,20",,,"31,38"
"",Four:Société CHIGNOLI,,,,,
"",Total compte 61510010 ENTRETIEN VMC N/RECUP,,"345,20",,,"31,38"
"",,,,,,
"",ENTRETIEN EXTINCTEURS,,,,,
05/02/2014,Vérification extincteurs,,"125,40",,"125,40","20,90"
"",Four:S.A.R.L. ELITINCENDIE,,,,,
"",Total compte 61510011 ENTRETIEN EXTINCTEURS,,"125,40",,"125,40","20,90"
"",,,,,,
"",CONTRAT PORTES COUPE-FEU,,,,,
31/12/2014,Contrat entretien porte coupe feu,,"206,02","206,02",,"34,34"
"",Four:Société B.E.P.P.I.,,,,,
"",Total compte 61510012 CONTRAT PORTES COUPE-FEU,,"206,02","206,02",,"34,34"
"",,,,,,
"",CONTRAT EXUT.DESENFUMAGE,,,,,
20/01/2014,Entretien annuelle des exutoire désenfum,,"179,40","179,40",,"29,90"
"",Four:Société B.E.P.P.I.,,,,,
"",Total compte 61510013 CONTRAT EXUT.DESENFUMAGE,,"179,40","179,40",,"29,90"
"",,,,,,
"",TRAVAUX IMPORTANTS,,,,,
06/02/2014,SVM fourn&pose verrou cavalier,,"278,30",,"278,30","25,30"
27/03/2014,Dandeville fourni&pose bague laiton,,"423,50",,"423,50","38,50"
12/06/2014,Cogeferm Commande cylindre de serrure,,"180,66",,"180,66","30,11"
30/06/2014,BEEPIFournit treuil + détecteur autonome,,"984,66",,"984,66","164,11"
07/07/2014,SVM fourn&pose verrou porte entrée,,"249,70",,"249,70","22,70"
23/07/2014,Cogeferm Intervention sur porte immeuble,,"222,10",,"222,10","37,02"
10/09/2014,CHIGNOLI fourniture et pose VMC,,"300,30",,"300,30","27,30"
"",Four:Société CHIGNOLI,,,,,
16/10/2014,Dépannage de VMC,,"701,00",,"701,00","63,73"
"",Four:Société CHIGNOLI,,,,,
29/10/2014,Ecomélec Remplac. 3 détect. présence,,"663,04",,"663,04","60,28"
06/11/2014,Bailly Interv sur porte immeuble,,"402,49",,"402,49","36,59"
25/11/2014,Bailly Remplac. d'un bris de glace,,"250,58",,"250,58","22,78"
"",Total compte 61520000 TRAVAUX IMPORTANTS,,"4656,33",,"4656,33","528,42"
"",,,,,,
"",ENTRETIEN JARDIN,,,,,
30/06/2014,Entretien jardin,,"720,00","720,00",,"120,00"
"",Four:S.A.R.L. ancolie fleurs,,,,,
"",Total compte 61561000 ENTRETIEN JARDIN,,"720,00","720,00",,"120,00"
"",,,,,,
"",ASSURANCES,,,,,
01/01/2014,Prime assurance 2014,,"5469,11",,"5469,11",
"",Four:Monsieur JARDIN ARNAUD,,,,,
"",Total compte 61610000 ASSURANCES,,"5469,11",,"5469,11",
"",,,,,,
"",ENVOI CONVOCATION & P.V.,,,,,
12/05/2014,Frais envoi convocation AGO 02/06/14,,"160,60",,,
"",Four:Cabinet PAGESTI NON TAXABLES,,,,,
12/06/2014,Frais envoi AGO 02/06/14,,"119,68",,,
"",Four:Cabinet PAGESTI NON TAXABLES,,,,,
"",Total compte 62130001 ENVOI CONVOCATION & P.V.,,"280,28",,,
"",,,,,,
"",VACATION ASSEMBLEE GLE,,,,,
02/06/2014,Frais vacation AGO 02/06/14,,"396,00",,,"66,00"
"",Four:Cabinet PAGESTI FRAIS TAXABLES,,,,,
"",Total compte 62260001 VACATION ASSEMBLEE GLE,,"396,00",,,"66,00"
"",,,,,,
"",HONORAIRES EXPERT,,,,,
21/11/2014,DEP diagnostic amiante,,"324,00",,,"54,00"
"",Four:S.A. D.E.P. DIAGNOSTIC,,,,,
"",Total compte 62260004 HONORAIRES EXPERT,,"324,00",,,"54,00"
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
"",HONORAIRES AVOCAT,,,,,
20/05/2014,BRUDER aff: FRUCTICOMI&Autres 1652/2007,,"3000,00",,"3000,00","500,00"
"",Four:Maître BRUDER Emmanuel,,,,,
"",Total compte 62260010 HONORAIRES AVOCAT,,"3000,00",,"3000,00","500,00"
"",,,,,,
"",HONORAIRES HUISSIER,,,,,
22/05/2014,SCP BOROTA Frais délevrance de l'acte,,"95,00",,"95,00","0,01"
"",Four:S.C.P. borota nicole,,,,,
26/05/2014,SCP BERNARD assignation TGI FRUCTICOMI,,"83,37",,"83,37","12,03"
"",Four:S.C.P. BERNARD,,,,,
"",Total compte 62260020 HONORAIRES HUISSIER,,"178,37",,"178,37","12,04"
"",,,,,,
"",HONORAIRES SYNDIC,,,,,
01/01/2014,HONORAIRES SYNDIC,00004111,"1238,75",,,"206,46"
01/04/2014,HONORAIRES SYNDIC,00004260,"1238,75",,,"206,46"
01/07/2014,HONORAIRES SYNDIC,00004471,"2295,25",,,"382,54"
01/10/2014,HONORAIRES SYNDIC,00004597,"2295,25",,,"382,54"
"",Total compte 62261000 HONORAIRES SYNDIC,,"7068,00",,,"1178,00"
"",,,,,,
"",REMBOURSEMENT ASSURANCE,,,,,
11/02/2014,SVM Fournit& pose d'un vitrage s/mesure,,"949,30",,,"86,30"
13/03/2014,AXA rembt sinistre bris de gla,,"949,30CR",,,
02/10/2014,AXA - Rbt sinistre Mme Nave,,"643,50CR",,,
02/10/2014,Mme NAVE rembt ind.assur.,,"643,50",,,
25/11/2014,AXA - Rembt sinistre Nave,,"1200,76CR",,,
25/11/2014,Mme Nave rbt sinistre parquet,,"1200,76",,,
"",Total compte 71310000 REMBOURSEMENT ASSURANCE,,,,,"86,30"
"",,,,,,
"",,,,,,
"",Total clé  0001 CHARGES GENERALES,,"48629,27","26903,40","13429,21","6346,08"
"",0002 CHARGES ASCENSEURS,,,
"",E.D.F. ASCENSEUR Cpteur 559,,,
20/02/2014,Facture du 20/02/14,"229,43","229,43","33,04"
"",Four:  E.D.F Entreprises,,,
07/05/2014,Facture du 07/05/14,"277,21","277,21","31,51"
"",Four:  E.D.F Entreprises,,,
24/06/2014,Facture du 24/06/14,"53,48","53,48","8,13"
"",Four:  E.D.F Entreprises,,,
21/08/2014,Facture du 21/08/14,"140,60","140,60","16,05"
"",Four:  E.D.F Entreprises,,,
24/10/2014,Facture du 24/10/14,"141,83","141,83","18,45"
"",Four:  E.D.F Entreprises,,,
24/12/2014,Facture du 24/12/14,"253,15","253,15","37,11"
"",Four:  E.D.F Entreprises,,,
"",Total compte 60610072 E.D.F. ASCENSEUR Cpteur 559,"1095,70","1095,70","144,29"
"",,,,
"",ENTRET.COMPLET ASCENSEUR,,,
02/01/2014,Entretien 1er trimestre 14,"703,79","513,76","63,98"
"",Four:S.A.R.L. A.D.S,,,
01/04/2014,Entretien 2ème trimestre 14,"703,79","513,76","63,98"
"",Four:S.A.R.L. A.D.S,,,
26/06/2014,Entretien 3ème trimestre 14,"550,00","401,50","50,00"
"",Four:Société MCA,,,
30/09/2014,Entretien 4ème trimestre 14,"550,00","401,50","50,00"
"",Four:Société MCA,,,
"",Total compte 61560072 ENTRET.COMPLET ASCENSEUR,"2507,58","1830,52","227,96"
"",,,,
"",MAINTENANCE TELE ALARME,,,
06/02/2014,Facture du 06/02/14,"38,51",,"6,42"
"",Four:  ORANGE,,,
08/04/2014,Facture du 08/04/14,"38,51",,"6,42"
"",Four:  ORANGE,,,
06/06/2014,Facture du 06/06/14,"38,62",,"6,44"
"",Four:  ORANGE,,,
06/08/2014,Facture du 06/08/14,"38,53",,"6,42"
07/10/2014,Facture du 07/10/14,"38,62",,"6,44"
"",Four:  ORANGE,,,
08/12/2014,Facture du 08/12/14,"38,69",,"6,45"
"",Four:  ORANGE,,,
"",Total compte 61560073 MAINTENANCE TELE ALARME,"231,48",,"38,59"
"",,,,
"",,,,
"",Total clé  0002 CHARGES ASCENSEURS,"3834,76","2926,22","410,84"
0900 FRAIS DE BUREAU
Date,,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,,
"",,0900 FRAIS DE BUREAU,,,,,
"",FRAIS DE BUREAU,,,,,,
01/01/2014,FRAIS DE BUREAU,,00004110,"220,00",,,"36,67"
01/01/2014,1ier semestre 2014,,00004513,"440,00CR",,,"73,33CR"
"",Four:Cabinet PAGESTI SAS,,,,,,
01/04/2014,FRAIS DE BUREAU,,00004259,"220,00",,,"36,67"
01/07/2014,FRAIS DE BUREAU,,00004791,,,,
01/10/2014,FRAIS DE BUREAU,,00004792,,,,
"",Total compte 62220003 FRAIS DE BUREAU,,,,,,"0,01"
"",,,,,,,
"",,,,,,,
"",Total clé  0900 FRAIS DE BUREAU,,,,,,"0,01"
TOTAL GENERAL,"52464,03","29829,62","13429,21","6756,93"
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",9999 Charges particulières
gauthier,
Total compte 45007001 gauthier,
"",
"",
"",Total clé  9999 Charges particulières
