Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",Total compte 60610002 E.D.F. SERV.GX Cpteur 069,,"1722,43","1722,43",,"253,63"
"",,,,,,
"",DEPENSES DIVERSES N/REC.,,,,,
06/01/2013,Mme Guillon rembt fact BHV - tapis bross,,"144,00",,,"23,60"
11/03/2013,Me Lacourte slde frs modif RCP,,"603,16CR",,,
18/04/2013,SVM Confection de 3 clès,,"66,02",,,"10,82"
15/07/2013,Mr de Turris fournit 1 badge,,"27,51CR",,,
"",Total compte 60630002 DEPENSES DIVERSES N/REC.,,"420,65CR",,,"34,42"
"",,,,,,
"",ENTRETIEN IMMEUBLE,,,,,
12/01/2013,Entretien 01/13,,"1296,38","1296,38",,"212,45"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/02/2013,Entretien 02/13,,"1296,38","1296,38",,"212,45"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/03/2013,Entretien 03/13,,"1296,38","1296,38",,"212,45"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/04/2013,Entretien 04/13,,"1296,38","1296,38",,"212,45"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/05/2013,Entretien 05/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/06/2013,Entretien 06/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/07/2013,Entretien 07/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/08/2013,Entretien 08/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/09/2013,Entretien 09/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/10/2013,Entretien 10/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/11/2013,Entretien 11/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/12/2013,Entretien 12/13,,"1335,25","1335,25",,"218,82"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 61510000 ENTRETIEN IMMEUBLE,,"15867,52","15867,52",,"2600,36"
"",,,,,,
"",PETITS TRVX D'ELECTRICITE,,,,,
28/02/2013,Réarmement du disjoncteur,,"209,29","209,29",,"13,69"
"",Four:S.A.R.L. ECOMELEC,,,,,
19/04/2013,Réarmement du différentiel des prises,,"157,08","157,08",,"10,28"
"",Four:S.A.R.L. ECOMELEC,,,,,
11/09/2013,Fourniture et programmation clefs,,"213,47","213,47",,"13,97"
"",Four:Syndicat BAILLY,,,,,
10/10/2013,Changement code porte rue,,"169,70","169,70",,"11,10"
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
"",Four:S.A.R.L. ECOMELEC,,,,,
17/10/2013,Remise en service de minuterie caves,,"274,93","274,93",,"16,22"
"",Four:S.A.R.L. ECOMELEC,,,,,
17/10/2013,Débranchement des boutons poussoirs,,"235,70","235,70",,"15,42"
"",Four:S.A.R.L. ECOMELEC,,,,,
17/10/2013,Régul s/ facture n 2131718,,"27,00CR","27,00CR",,"1,77CR"
12/12/2013,Remplacement douille et lampes défectueu,,"245,77","245,77",,"16,08"
"",Four:S.A.R.L. ECOMELEC,,,,,
"",Total compte 61510001 PETITS TRVX D'ELECTRICITE,,"1478,94","1478,94",,"94,99"
"",,,,,,
"",DESOURISATION,,,,,
12/03/2013,1er trimestre 13,,"74,15","74,15",,"12,15"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/06/2013,2em trimestre 13,,"76,38","76,38",,"12,52"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/09/2013,3em trimestre 13,,"77,74","77,74",,"12,74"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/12/2013,4em trimestre 13,,"77,74","77,74",,"12,74"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 61510002 DESOURISATION,,"306,01","306,01",,"50,15"
"",,,,,,
"",DESINSECTISATION,,,,,
26/08/2013,Contrat désinsectisation parties commune,,"171,26",,,"28,07"
"",Four:Société CHRISTAL,,,,,
"",Total compte 61510003 DESINSECTISATION,,"171,26",,,"28,07"
"",,,,,,
"",PETITS TRVX DE PLOMBERIE,,,,,
28/05/2013,Rech. fuite au niveai fenêtre 1er étage,,"197,34","197,34",,"32,34"
"",Four:Société CPL BATIMENT,,,,,
"",Total compte 61510007 PETITS TRVX DE PLOMBERIE,,"197,34","197,34",,"32,34"
"",,,,,,
"",ENTRETIEN VMC N/RECUP,,,,,
29/11/2013,Nettoyage et entretien VMC,,"450,11",,,"29,45"
"",Four:Société CHIGNOLI,,,,,
"",Total compte 61510010 ENTRETIEN VMC N/RECUP,,"450,11",,,"29,45"
"",,,,,,
"",ENTRETIEN EXTINCTEURS,,,,,
18/01/2013,Vérification extincteur,,"121,39",,"121,39","19,89"
"",Four:S.A.R.L. ELITINCENDIE,,,,,
"",Total compte 61510011 ENTRETIEN EXTINCTEURS,,"121,39",,"121,39","19,89"
"",,,,,,
"",CONTRAT PORTES COUPE-FEU,,,,,
16/12/2013,Vérif. annuelle des portes coupe-feu,,"199,35","199,35",,"32,67"
"",Four:Société B.E.P.P.I.,,,,,
"",Total compte 61510012 CONTRAT PORTES COUPE-FEU,,"199,35","199,35",,"32,67"
"",,,,,,
"",CONTRAT EXUT.DESENFUMAGE,,,,,
31/01/2013,Contrat annuelle désenfumage,,"173,59","173,59",,"28,45"
"",Four:Société B.E.P.P.I.,,,,,
"",Total compte 61510013 CONTRAT EXUT.DESENFUMAGE,,"173,59","173,59",,"28,45"
"",,,,,,
"",TRAVAUX IMPORTANTS,,,,,
11/12/2013,Fourniture et pose de 8 chapeaux,,"727,60",,"727,60","47,60"
"",Four:Société CPL BATIMENT,,,,,
"",Total compte 61520000 TRAVAUX IMPORTANTS,,"727,60",,"727,60","47,60"
"",,,,,,
"",PETITS TRVX COUVERTURE N/R,,,,,
13/09/2013,Recherche de fuite,,"307,09",,"307,09","20,09"
"",Four:Société CPL BATIMENT,,,,,
19/12/2013,Fourni.et pose de six chapeaux s/ condui,,"1005,65",,"1005,65","65,79"
"",Four:Société CPL BATIMENT,,,,,
"",Total compte 61550001 PETITS TRVX COUVERTURE N/R,,"1312,74",,"1312,74","85,88"
"",,,,,,
"",DERATISATION,,,,,
26/08/2013,Traitement contre les mites,,"152,36",,,"24,97"
"",Four:Société CHRISTAL,,,,,
"",Total compte 61560002 DERATISATION,,"152,36",,,"24,97"
"",,,,,,
"",ENTRETIEN JARDIN,,,,,
31/07/2013,Entretien et pose d'un arrosage,,"1264,17","1264,17",,"207,17"
"",Four:  du chene a la rose,,,,,
"",Total compte 61561000 ENTRETIEN JARDIN,,"1264,17","1264,17",,"207,17"
"",,,,,,
"",ASSURANCES,,,,,
01/01/2013,Redevance 01/01/2013- 31/12/2013,,"5379,23",,"5379,23",
"",Four:Monsieur JARDIN ARNAUD,,,,,
"",Total compte 61610000 ASSURANCES,,"5379,23",,"5379,23",
"",,,,,,
"",LOCAT.SALLE ASSEMBLEE GLE,,,,,
04/06/2013,Frais location salle  AGO 4/06/13,,"95,68",,,"15,68"
"",Four:Cabinet PAGESTI FRAIS TAXABLES,,,,,
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
18/12/2013,Frais location salle AGO 18/12/13,,"95,68",,,"15,68"
"",Four:Cabinet PAGESTI FRAIS TAXABLES,,,,,
"",Total compte 62120000 LOCAT.SALLE ASSEMBLEE GLE,,"191,36",,,"31,36"
"",,,,,,
"",ENVOI CONVOCATION & P.V.,,,,,
14/05/2013,Envoi convocation AGO 4/06/13,,"137,50",,,
"",Four:Cabinet PAGESTI NON TAXABLES,,,,,
05/06/2013,Frais envoi PV AGO 04/06/2013,,"116,28",,,
"",Four:Cabinet PAGESTI NON TAXABLES,,,,,
14/11/2013,Envoi convocation AGO 18/12/13,,"156,64",,,
"",Four:Cabinet PAGESTI NON TAXABLES,,,,,
19/12/2013,Envoi PV AGO du 18/12/13,,"106,04",,,
"",Four:Cabinet PAGESTI NON TAXABLES,,,,,
"",Total compte 62130001 ENVOI CONVOCATION & P.V.,,"516,46",,,
"",,,,,,
"",VACATION ASSEMBLEE GLE,,,,,
04/06/2013,Frais vacation AGO 04/06/13,,"117,20",,,"19,21"
"",Four:Cabinet PAGESTI FRAIS TAXABLES,,,,,
19/12/2013,Frais de vacation AGO 19/12/13,,"258,34",,,"42,34"
"",Four:Cabinet PAGESTI FRAIS TAXABLES,,,,,
"",Total compte 62260001 VACATION ASSEMBLEE GLE,,"375,54",,,"61,55"
"",,,,,,
"",HONORAIRES AVOCAT,,,,,
07/10/2013,Bruder aff: FRUCTICOMI ET SCI MAJEKA,,"1794,00",,"1794,00","294,00"
"",Four:Maître BRUDER Emmanuel,,,,,
"",Total compte 62260010 HONORAIRES AVOCAT,,"1794,00",,"1794,00","294,00"
"",,,,,,
"",HONORAIRES SYNDIC,,,,,
01/01/2013,HONORAIRES SYNDIC,00003536,"1215,00",,,"199,11"
01/04/2013,HONORAIRES SYNDIC,00003694,"1215,00",,,"199,11"
01/07/2013,HONORAIRES SYNDIC,00003841,"1262,50",,,"206,90"
01/10/2013,HONORAIRES SYNDIC,00003977,"1262,50",,,"206,90"
"",Total compte 62261000 HONORAIRES SYNDIC,,"4955,00",,,"812,02"
"",,,,,,
"",TAXE DE BALAYAGE,,,,,
03/12/2013,Taxe de balayage 2013,,"1051,00","1051,00",,
"",Four:  TRESOR PUBLIC,,,,,
"",Total compte 63210000 TAXE DE BALAYAGE,,"1051,00","1051,00",,
"",,,,,,
"",,,,,,
"",Total clé  0001 CHARGES GENERALES,,"44233,93","28507,53","9334,96","5211,07"
"",0002 CHARGES ASCENSEURS,,,
"",E.D.F. ASCENSEUR Cpteur 559,,,
20/02/2013,Facture du 20/02/13,"215,88","215,88","29,56"
"",Four:  E.D.F Entreprises,,,
19/04/2013,Facture du 19/04/13,"202,57","202,57","27,38"
"",Four:  E.D.F Entreprises,,,
22/06/2013,Facture du 22/06/13,"85,56","85,56","8,78"
"",Four:  E.D.F Entreprises,,,
21/08/2013,Facture du 21/08/13,"121,49","121,49","14,14"
"",Four:  E.D.F Entreprises,,,
22/10/2013,Facture du 22/10/13,"128,64","128,64","16,78"
"",Four:  E.D.F Entreprises,,,
21/12/2013,Facture du 21/12/13,"283,07","283,07","40,61"
"",Four:  E.D.F Entreprises,,,
"",Total compte 60610072 E.D.F. ASCENSEUR Cpteur 559,"1037,21","1037,21","137,25"
"",,,,
"",ENTRET.COMPLET ASCENSEUR,,,
02/01/2013,Entretien 1er trimestre 13,"684,60","499,75","44,79"
"",Four:S.A.R.L. A.D.S,,,
02/04/2013,Entretien 2ème trimestre 2013,"684,60","499,75","44,79"
"",Four:S.A.R.L. A.D.S,,,
01/07/2013,Entretien 3ème trimestre 13,"684,60","499,75","44,79"
"",Four:S.A.R.L. A.D.S,,,
01/10/2013,Entretien 4ème trimestre 13,"684,60","499,75","44,79"
"",Four:S.A.R.L. A.D.S,,,
"",Total compte 61560072 ENTRET.COMPLET ASCENSEUR,"2738,40","1999,00","179,16"
"",,,,
"",MAINTENANCE TELE ALARME,,,
06/02/2013,Facture du 06/02/13,"36,67",,"6,01"
"",Four:  ORANGE,,,
08/04/2013,Facture du 08/04/13,"36,59",,"36,59"
"",Four:  ORANGE,,,
06/06/2013,Facture du 06/06/13,"36,67",,"6,01"
"",Four:  ORANGE,,,
06/08/2013,Facture du 06/08/13,"40,33",,"6,61"
"",Four:  ORANGE,,,
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0002 CHARGES ASCENSEURS,,,,,
08/10/2013,Facture du 08/10/13,,"38,38",,,"6,29"
"",Four:  ORANGE,,,,,
06/12/2013,Facture du 06/12/13,,"38,46",,,"6,30"
"",Four:  ORANGE,,,,,
"",Total compte 61560073 MAINTENANCE TELE ALARME,,"227,10",,,"67,81"
"",,,,,,
"",,,,,,
"",Total clé  0002 CHARGES ASCENSEURS,,"4002,71","3036,21",,"384,22"
"",,0900 FRAIS DE BUREAU,,,
"",FRAIS DE BUREAU,,,,
01/01/2013,FRAIS DE BUREAU,,00003535,"220,00","36,05"
01/04/2013,FRAIS DE BUREAU,,00003693,"220,00","36,05"
01/07/2013,FRAIS DE BUREAU,,00003840,"220,00","36,05"
01/10/2013,FRAIS DE BUREAU,,00003976,"220,00","36,05"
"",Total compte 62220003 FRAIS DE BUREAU,,,"880,00","144,20"
"",,,,,
"",,,,,
"",Total clé  0900 FRAIS DE BUREAU,,,"880,00","144,20"
TOTAL GENERAL,"49116,64","31543,74","9334,96","5739,49"
Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",9999 Charges particulières
gauthier,
Total compte 45007001 gauthier,
"",
"",
"",Total clé  9999 Charges particulières
